hs_code,description,uom,custom_duty_code
2917.3200,Dioctyl orthophthalates,,20
2917.3300,Dinonyl or didecyl orthophthalates,,15
2917.3410,Dibutyl orthophthalates,,10
2917.3490,Other,,10
2917.3500,Phthalic anhydride,,10
2917.3610,Pure terephthalic acid (PTA),,5
2917.3690,Other,,0
2917.3700,Dimethyl terephthalate (DMT),,0
2917.3910,Iso phthalic acid,,0
2917.3920,Di-Octyl Terephthalate (DOTP),,20
2917.3990,Other,,0
2918.1110,Lactic acid,,0
2918.1190,Other,,0
2918.1200,Tartaric acid,,0
2918.1300,Salts and esters of tartaric acid,,0
2918.1400,Citric acid,,5
2918.1510,Sodium citrate,,0
2918.1590,Other,,0
2918.1600,"Gluconic acid, its salts and esters",,0
2918.1700,"2,2-Diphenyl-2-hydroxyacetic acid (benzilic acid)",,0
2918.1800,Chlorobenzilate (ISO),,0
2918.1900,Other,,0
2918.2110,Salicylic acid,,0
2918.2120,Sodium salicylate,,0
2918.2130,Methyl salicylate,,0
2918.2190,Other,,0
2918.2210,Aspirin,,20
2918.2290,Other,,0
2918.2300,Other esters of salicyclic acid and their salts,,0
2918.2900,Other,,0
2918.3000,"Carboxylic acids with aldehyde or ketone function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives",,0
2918.9100,"2,4,5-T (ISO) (2,4,5-trichlorophenoxyacetic acid), its salts and esters",,0
2918.9910,Ingredients for pesticides,,0
2918.9990,Other,,0
2919.1000,"Tris(2,3- dibromopropyl) phosphate",,0
2919.9010,Ingredients for pesticides,,0
2919.9090,Other,,0
2920.1100,Parathion (ISO) and parathion-methyl (ISO) (methyl parathion),,0
2920.1900,Other,,0
2920.2100,Dimethyl Phosphite,,0
2920.2200,Diethyl Phosphite,,0
2920.2300,Trimethyl Phosphite,,0
2920.2400,Triethyl Phosphite,,0
2920.2900,Other,,0
2920.3000,Endosulfan (ISO),,0
2920.9010,Sulphonic esters and derivatives,,0
2920.9020,Ingredients for pesticides,,0
2920.9090,Other,,0
2921.1100,"Methylamine, di- or trimethylamine and their salts",,0
2921.1200,"2-(N,N-Dimethylamino)ethylchloride hydrochloride",,0
2921.1300,"2-(N,N-Diethylamino)ethylchloride hydrochloride",,0
2921.1400,"2-(N,N-Diisopropylamino)ethylchloride hydrochloride",,0
2921.1910,Paraxylidine sulfamic acid,,0
2921.1920,Bis(2-chloroethyl) ethylamine,,0
2921.1930,Chlormethine (INN) (bis(2-chloroethyl) methylamine),,0
2921.1940,Trichlomethine (INN) (tris(2-chloroethyl)amine),,0
2921.1950,"N,N-Dialkyl(methyl, ethyl, n-propyl or isopropyl)2 chloroethylamines and their protonated salts",,0
2921.1990,Other,,0
2921.2100,Ethylenediamine and its salts,,0
2921.2200,Hexamethylenediamine and its salts,,0
2921.2910,Aceto Acetic ortho anisidine,,0
2921.2920,Di amino stilbene,,0
2921.2990,Other,,0
2921.3000,"Cyclanic, cyclenic or cycloterpenic mono- or polyamines, and their derivatives; salts thereof",,0
2921.4110,Aniline,,0
2921.4190,Other,,0
2921.4200,Aniline derivatives and their salts,,0
2921.4310,Ingredients for pesticides,,0
2921.4390,Other,,0
2921.4400,Diphenylamine and its derivatives; salts thereof,,0
2921.4510,Sodium naphthionate,,0
2921.4590,Other,,0
2921.4600,"Amfetamine (INN), benzfetamine (INN), dexamfetamine (INN), etilamfetamine (INN), fencamfamin (INN), lefetamine (INN), levamfetamine (INN), mefenorex (INN) and phentermine (INN); salts thereof",,0
2921.4900,Other,,0
2921.5110,Ingredients for pesticides,,0
2921.5190,Other,,0
2921.5900,Other,,0
2922.1100,Monoethanolamine and its salts,,0
2922.1200,Diethanolamine and its salts,,0
2922.1400,Dextropropoxyphene (INN) and its salts,,0
2922.1500,Triethanolamine,,0
2922.1600,Diethanolammonium perfluorooctane sulphonate,,0
2922.1700,Methyldiethanolamine and ethyldiethanolamine,,0
2922.1800,"2-(N,N-Diisopropylamino)ethanol",,0
2922.1911,"N,N-Dimethyl-2-aminoethanol and its protonated salts",,0
2922.1912,"N,N-Diethyl-2-aminoethanol and its protonated salts",,0
2922.1919,Other,,0
2922.1990,Other,,0
2922.2100,Aminohydroxynaphthalenesulphonic acids and their salts,,0
2922.2900,Other,,0
2922.3100,"Amfepramone (INN), methadone (INN) and normethadone (INN); salts thereof",,0
2922.3900,Other,,0
2922.4100,"Lysine and its esters, salts thereof",,0
2922.4210,Monosodium glutamate,,0
2922.4290,Other,,0
2922.4300,Anthranilic acid and its salt,,0
2922.4400,Tilidine (INN) and its salts,,0
2922.4910,Alanine,,0
2922.4990,Other,,0
2922.5000,"Amino- alcohol- phenols, amino- acid- phenols and other amino- compounds with oxygen function",,0
2923.1000,Choline and its salts,,0
2923.2000,Lecithins and other phosphoaminolipids,,0
2923.3000,Tetraethylammonium perfluorooctane sulphonate,,0
2923.4000,Didecyldimethylammonium perfluorooctane sulphonate,,0
2923.9010,Betaine,,0
2923.9090,Other,,0
2924.1100,Meprobamate (INN),,0
2924.1200,"Fluoroacetamide (ISO), monocrotophos (ISO) and phosphamidon (ISO)",,0
2924.1910,Acetamide,,0
2924.1920,Acrylamido methyl propane sulphonic acid (AMPS),,0
2924.1990,Other,,0
2924.2100,Ureines and their derivatives; salts thereof,,0
2924.2300,2- Acetamidobenzoic acid (N- acetylanthranilic acid) and its salts,,0
2924.2400,Ethinamate (INN),,0
2924.2500,Alachlor (ISO),,0
2924.2910,Paracetamol,,20
2924.2920,Aceto acet ortho toluidine,,0
2924.2940,Phenacetine (Aceto-phenetidine),,0
2924.2950,Ingredients for pesticides,,0
2924.2990,Other,,0
2925.1100,Saccharin and its salts,,0
2925.1200,Glutethimide (INN),,0
2925.1900,Other,,0
2925.2100,Chlordimeform (ISO),,0
2925.2910,Diphenyl-guanidine,,0
2925.2990,Other,,0
2926.1000,Acrylonitrile,,0
2926.2000,1- Cyanoguanidine (dicyandiamide),,0
2926.3000,"Fenproporex (INN) and its salts; methadone (INN) intermediate (4- cyano- 2- dimethylamino- 4,4- diphenylbutane)",,0
2926.4000,alpha-Phenylacetoacetonitrile,,0
2926.9010,"Alpha cyano, 3-phenoxybenzyl (-)cis, trans 3-(2,2 diclord vinyl) 2,2 dimethyl cyclopropane carboxylate",,0
2926.9020,"(S) Alpha cyano, 3-phenoxybenzyl (S)-2-(4, chloro phenyl)-3 mehtyl butyrate",,0
2926.9030,"Cyano, 3-phenony benzyl 2,2,3,3 tetra methyl cyclopropane carboxalate",,0
2926.9040,N-methylpyrolidon,,0
2926.9050,Ingredients for pesticides,,0
2926.9090,Other,,0
2927.0010,Benzene-diazonium chloride,,0
2927.0020,Azobenzene and azotoluenes,,0
2927.0030,"Azoxybenzene, azoxybenzoic acid and azoxytoluidine",,0
2927.0040,Diazoamino-benzene,,0
2927.0090,Other,,0
2928.0010,Phenyl-hydrazine,,0
2928.0020,Benzyl-phenyl-hydrazine,,0
2928.0090,Other,,0
2929.1000,Isocyanates,,0
2929.9010,Isocyanides,,0
2929.9020,"N,N-Dialkyl(methyl, ethyl, n-propyl, or isopropyl) phosphoramidic dihalides",,0
2929.9030,"Dialkyl(methyl, ethyl, n-propyl or isopropyl)N,N-dialkyl (methyl, ethyl, n-propyl or isopropyl)phosphoramidates",,0
2929.9090,Other,,0
2930.1000,"2-(N,N-Dimethylamino) ethanethiol",,0
2930.2010,"2-N, N-Dimethyl amino-I sodium thiosulphate, 3 thiosulfourropane",,0
2930.2020,S-S (2 dimethyl amino (trimethylene) bis (thio carbamate),,0
2930.2030,Other Ingredients for pesticides,,0
2930.2090,Other,,0
2930.3000,"Thiuram mono- , di- or tetrasulphides",,0
2930.4000,Methionine,,0
2930.6000,"2-(N,N-Diethylamino)ethanethiol",,0
2930.7000,Bis(2-hydroxyethyl)sulfide (thiodiglycol (INN)),,0
2930.8000,"Aldicarb (ISO), captafol (ISO) and methamidophos (ISO)",,0
2930.9010,"2- N,N-dimethylamino 1,3 disodium thiosulphate propane",,0
2930.9020,"O,S-dimethyl phosphoramidothioate",,0
2930.9030,Diafethiuran technical (itertbutyl) 3-2-6 disopropyl (4 phenoxyphenyl) thiourene,,0
2930.9040,"O-O diethyl O-(3,5,6 trichloro pyridinyl) phosphorothioate",,0
2930.9050,"O-(4-bromo, 2-chloro phenyl) o-ethyl s-propyl (phosphorothioate)",,0
2930.9060,"O,O diethyl O-(3,5,6-trichloro 2-pyridyl) phosphorothioate",,0
2930.9070,Ingredients for pesticides,,0
2930.9091,"[S-2-(dialkyl(methyl,ethyl,n-propyl or isopropyl)amino)ethyl ]hydrogen alkyl (methyl,ethyl, n-propyl or isopropyl)phosphonothioates and their O-alkyl (less than C10, including cycloalkyl)esters, alkylated or protonated salts therof",,0
2930.9092,"2-Chloroethylchloromethylsulphide; Bis(2 chloroethyl)sulphide; Bis(2-chloroethylthio)methane; 1,2- Bis(2-chloroethylthio)ethane; 1,3-Bis(2-chloroethylthio)-n- propane; 1,4-Bis(2-chloroethylthio)-n-butane; 1,5-Bis(2- chloroethylthio)-n-pentane; Bis(2- chloroethylthiomethyl)ether; Bis(2-chloroethylthioethyl)ether",,0
2930.9093,"O,O-Diethyl S-[2-(diethylamino) ethyl]phosphorothioate and its alkylated or protonated salts; N,N-Dialkyl (methyl, ethyl,n-propyl or isopropyl) aminoethane-2-thiols and their protonated salts; Thiodiglycol(INN)(bis(2-hydroxyethyl)sulphide; O-Ethyl S- phenyl ethylphosphonothiolothionate (fonofos)",,0
2930.9094,"Containing a phosphorus atom to which is bonded one methyl, ethyl, n-propyl or isopropyl group but not further carbon atoms",,0
2930.9099,Other,,0
2931.1000,Tetramethyl lead and tetraethyl lead,,0
2931.2000,Tributyltin compounds,,0
2931.4100,Dimethyl methylphosphonate,,0
2931.4200,Dimethyl propylphosphonate,,0
2931.4300,Diethyl ethylphosphonate,,0
2931.4400,Methylphosphonic acid,,0
2931.4500,Salt of methylphosphonic acid and (aminoiminomethyl)urea (1 : 1),,0
2931.4600,"2,4,6-Tripropyl-1,3,5,2,4,6-trioxatriphosphinane 2,4,6 trioxide",,0
2931.4700,"(5-Ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl) methyl methyl methylphosphonate",,0
2931.4800,"3,9-Dimethyl-2,4,8,10-tetraoxa-3,9-diphosphaspiro[5.5] undecane 3,9-dioxide",,0
2931.4900,Other,,0
2931.5100,Methylphosphonic dichlorid,,0
2931.5200,Propylphosphonic dichloride,,0
2931.5300,O-(3-chloropropyl) O-[4-nitro-3-(trifluoromethyl)phenyl] methylphosphonothionate,,0
2931.5400,Trichlorfon (ISO),,0
2931.5910,"O-Alkyl (< C10, including cycloalkyl) alkyl (methyl, ethyl, n-propyl or isopropyl)phosphonofluoridates",,0
2931.5920,"O-Alkyl (< C10, including cycloalkyl)N,N-dialkyl (methyl, ethyl, n-propyl or isopropyl) phosphoramidocyanidates",,0
2931.5930,"Alkyl (methyl, ethyl, n-propyl or isopropyl) phosphonyl difluorides",,0
2931.5940,"[O-2-(dialkyl (methyl, ethyl, n-propyl or isopropyl) amino)ethyl] hydrogen alkyl(methyl, ethyl, n-propyl or isopropyl)phosphonites and their O-alkyl (<C10, including cycloalkyl) esters; alkylated or protonated salts thereof",,0
2931.5950,O-Isopropyl methylphosphonochloridate,,0
2931.5960,O-Pinacolyl methylphosphonochloridate,,0
2931.5991,"Containing a phosphorus atom to which is bonded one methyl, ethyl, n-propyl or isopropyl group but not further carbon atoms",,0
2931.5999,Other,,0
2931.9040,Ingredients for pesticides,,0
2931.9050,2-Chlorovinyldichloroarsine,,0
2931.9060,Bis(2-chlorovinyl)chloroarsine,,0
2931.9070,Tris(2-chlorovinyl)arsine,,0
2931.9090,Other,,0
2932.1100,Tetrahydrofuran,,0
2932.1200,2-Furaldehyde (furfuraldehyde),,0
2932.1300,Furfuryl alcohol and tetrahydrofurfuryl alcohol,,0
2932.1400,Sucralose,,0
2932.1900,Other,,0
2932.2010,"4,5,6,7- tetrachloropthalide",,0
2932.2020,Isoascorbic acid,,0
2932.2030,Ingredients for pesticides,,0
2932.2090,Other,,0
2932.9100,Isosafrole,,0
2932.9200,"1-(1,3-Benzodioxol-5-yl)propan-2-one",,0
2932.9300,Piperonal,,0
2932.9400,Safrole,,0
2932.9500,Tetrahydrocannabinols (all isomers),,0
2932.9600,Carbofuran (ISO),,0
2932.9910,"2,3 Dihydro 2-2 dimethyl-7 benzo furanyl methyl carbamate",,0
2932.9990,Other,,0
2933.1100,Phenazone (antipyrin) and its derivatives,,0
2933.1900,Other,,0
2933.2100,Hydantoin and its derivatives,,0
2933.2900,Other,,0
2933.3100,Pyridine and its salts,,0
2933.3200,Piperidine and its salts,,0
2933.3300,"Alfentanil (INN), anileridine (INN), bezitramide (INN), bromazepam (INN), carfentanil (INN), difenoxin (INN), diphenoxylate (INN), dipipanone (INN), fentanyl (INN), ketobemidone (INN), methylphenidate (INN), pentazocine (INN), pethidine (INN), pethidine (INN) intermediate A, phencyclidine (INN) (PCP), phenoperidine (INN), pipradrol (INN), piritramide (INN), propiram (INN), remifentanil (INN) and trimeperidine (INN); salts thereof",,0
2933.3400,Other fentanyls and their derivatives,,10
2933.3500,3-Quinuclidinol,,0
2933.3600,4-Anilino-N-phenethylpiperidine (ANPP),,10
2933.3700,N-Phenethyl-4-piperidone (NPP),,10
2933.3910,Chlorpheniramine and isoniazid,,0
2933.3920,Pyrazinamide,,20
2933.3940,3-Quinuclidinyl benzilate,,0
2933.3960,Ingredients for pesticides,,0
2933.3990,Other,,10
2933.4100,Levorphanol (INN) and its salts,,0
2933.4910,Amodiaquine,,0
2933.4920,Quinoline,,0
2933.4930,Chloroquine sulphate,,0
2933.4940,Chloroquine phosphate,,0
2933.4950,Moxifloxacin HCL,,20
2933.4990,Other,,5
2933.5200,Malonylurea (barbituric acid) and its salts,,0
2933.5300,"Allobarbital (INN), amobarbital (INN), barbital INN), butalbital (INN), butobarbital, cyclobarbital (INN), methylphenobarbital (INN), pentobarbital (INN), phenobarbital (INN), secbutabarbital (INN), secobarbital (INN) and vinylbital (INN); salts thereof",,0
2933.5400,Other derivatives of malonylurea (barbituric acid); salts thereof,,0
2933.5500,"Loprazolam (INN), mecloqualone (INN), methaqualone (INN) and zipeprol (INN); salts thereof",,0
2933.5910,"0, Diethyl, 0 (2, iso propyl-6 methyl-pyrimidin-4-YL) phosphoro thioate",,0
2933.5920,"1-tert, butyl-3 (2,6 iso propyl 4-phenoxy phenyal thiourean",,0
2933.5930,Ciprofloxacin,,20
2933.5940,Norfloxacin,,20
2933.5950,Ingredients for pesticides,,0
2933.5960,Sitagliptin Phosphate Monohydrate,,20
2933.5970,Trimethoprim,,20
2933.5990,Other,,10
2933.6100,Melamine,,0
2933.6910,Pyrimethamine,,0
2933.6920,Isoniazid,,0
2933.6930,Cyanuric chloride,,0
2933.6940,Ingredients for pesticides,,0
2933.6990,Other,,0
2933.7100,6-Hexanelactam (epsilon-caprolactam),,0
2933.7200,Clobazam (INN) and methyprylon(INN),,0
2933.7910,Isatin (lactam of istic acid),,0
2933.7920,1-Vinyl-2-pyrrol-idone,,0
2933.7990,Other,,0
2933.9100,"Alprazolam (INN), camazepam (INN), chlordiazepoxide (INN), clonazepam (INN), clorazepate, delorazepam (INN), diazepam (INN), estazolam (INN), ethyl loflazepate (INN), fludiazepam (INN), flunitrazepam (INN), flurazepam (INN), halazepam (INN), lorazepam (INN), lormetazepam (INN), mazindol (INN), medazepam (INN), midazolam (INN), nimetazepam (INN), nitrazepam (INN), nordazepam (INN), oxazepam (INN), pinazepam (INN), prazepam (INN), pyrovalerone (INN), temazepam (INN), tetrazepam (INN) and triazolam (INN);salts thereof",,0
2933.9200,Azinphos-methyl (ISO),,0
2933.9910,Ingredients for pesticides,,0
2933.9990,Other,,10
2934.1010,Ingredients for pesticides,,0
2934.1090,Other,,0
2934.2000,"Compounds containing in the structure a benzothiazole ring- system (whether or not hydrogenated), not further fused",,0
2934.3000,"Compounds containing in the structure a phenothiazine ring- system (whether or not hydrogenated), not further fused",,0
2934.9100,"Aminorex (INN), brotizolam (INN), clotiazepam (INN), cloxazolam (INN), dextromoramide (INN), haloxazolam (INN), ketazolam (INN), mesocarb (INN), oxazolam (INN), pemoline (INN), phendimetrazine (INN), phenmetrazine (INN) and sufentanil (INN); salts thereof",,0
2934.9200,Other fentanyls and their derivatives,,0
2934.9910,Furazolidone,,10
2934.9920,Ingredients for pesticides,,0
2934.9990,Other,,0
2935.1000,N-Methylperfluorooctane sulphonamide,,0
2935.2000,N-Ethylperfluorooctane sulphonamide,,0
2935.3000,N-Ethyl-N-(2-hydroxyethyl) perfluorooctane sulphonamide,,0
2935.4000,N-(2-Hydroxyethyl)-N-methylperfluorooctane sulphonamide,,0
2935.5000,Other perfluorooctane sulphonamides,,0
2935.9010,o-Toluene-sulphonamide,,0
2935.9020,Sulpha-diazine (INN),,0
2935.9030,Sulphamethoxazole,,20
2935.9040,Sulpha-thiazolediazine,,20
2935.9050,Sulphanilamide,,20
2935.9090,Other,,10
2936.2100,Vitamins A and their derivatives,,0
2936.2200,Vitamin B and its derivatives 1,,0
2936.2300,Vitamin B and its derivatives 2,,0
2936.2400,D- or DL-Pantothenic acid (Vitamin B ) and its derivatives 5,,0
2936.2500,Vitamin B and its derivatives 6,,0
2936.2600,Vitamin B and its derivatives 12,,0
2936.2700,Vitamin C and its derivatives,,0
2936.2800,Vitamin E and its derivatives,,0
2936.2900,Other vitamins and their derivatives,,0
2936.9000,"Other, including natural concentrates",,0
2937.1100,"Somatotropin, its derivatives and structural analogues",,0
2937.1200,Insulin and its salts,,0
2937.1900,Other,,0
2937.2100,"Cortisone, hydrocortisone, prednisone (dehydrocortisone) and prednisolone (dehydrohydrocortisone)",,0
2937.2200,Halogenated derivatives of corticosteroidal hormones,,0
2937.2300,Oestrogens and progestogens,,0
2937.2900,Other,,0
2937.5000,"Prostaglandins, thromboxanes and leukotrienes, their derivatives and structural analogues",,0
2937.9000,"Other XII.GLYCOSIDES AND ALKALOIDS, NATURAL OR",,0
2938.1000,Rutoside (rutin) and its derivatives,,0
2938.9010,Ingredients for pesticides,,0
2938.9090,Other,,0
2939.1100,"Concentrates of poppy straw; buprenorphine (INN), codeine, dihydrocodeine (INN), ethylmorphine, etorphine (INN), heroin, hydrocodone (INN), hydromorphone (INN), morphine, nicomorphine (INN), oxycodone (INN), oxymorphone (INN), pholcodine (INN), thebacon (INN) and thebaine; salts thereof",,0
2939.1900,Other,,0
2939.2010,Quinine sulphate,,0
2939.2090,Other,,0
2939.3000,Caffeine and its salts,,0
2939.4100,Ephedrine and its salts,,20
2939.4200,Pseudoephedrine (INN) and its salts,,20
2939.4300,Cathine (INN) and its salts,,20
2939.4400,Norephedrine and its salts,,20
2939.4500,"Levometamfetamine, metamfetamine (INN), metamfetamine racemate and their salts",,20
2939.4900,Other,,20
2939.5100,Fenetylline (INN) and its salts,,0
2939.5900,Other,,0
2939.6100,Ergometrine (INN) and its salts,,0
2939.6200,Ergotamine (INN) and its salts,,0
2939.6300,Lysergic acid and its salts,,0
2939.6900,Other,,0
2939.7200,"Cocaine, ecgonine; salts, esters and other derivatives thereof",,0
2939.7900,Other,,0
2939.8010,Ingredients for pesticides,,0
2939.8090,Other,,0
2940.0000,"Sugars, chemically pure, other than sucrose, lactose, maltose, glucose and fructose; sugar ethers, sugar acetals and sugar esters, and their salts, other than products of heading 29. 37, 29. 38 or 29.39.",,5
2941.1000,Penicillins and their derivatives with a penicillanic acid structure; salts thereof,,20
2941.2000,Streptomycins and their derivatives; salts thereof,,0
2941.3000,Tetracyclines and their derivatives; salts thereof,,0
2941.4000,Chloramphenicol and its derivatives; salts thereof,,0
2941.5000,Erythromycin and its derivatives; salts thereof,,10
2941.9010,Cephalexin,,20
2941.9020,Gramicid trycidine,,0
2941.9030,Thricin,,0
2941.9040,Cephradine oral,,20
2941.9060,Cefixime in bulk,,15
2941.9070,Ingredients for pesticides,,0
2941.9090,Other,,10
2942.0000,Other organic compounds.,,0
3001.2000,Extracts of glands or other organs or of their secretion,,0
3001.9000,Other,,0
3002.1200,Antisera and other blood fractions,,10
3002.1300,"Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,10
3002.1400,"Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,10
3002.1500,"Immunological products, put up in measured doses or in forms or packings for retail sale",,10
3002.4110,Tetanus toxide,,0
3002.4120,For prevention of hepatitis-B,,0
3002.4190,Other,,0
3002.4200,Vaccines for veterinary medicine,,0
3002.4900,Other,,10
3002.5100,Cell therapy products,,10
3002.5900,Other,,10
3002.9010,Human blood,,0
3002.9020,Animal blood,,0
3002.9030,Saxitoxin,,0
3002.9040,Ricin,,0
3002.9090,Other,,10
3003.1000,"Containing pencillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",,10
3003.2000,Other containing antibiotics,,10
3003.3100,Containing insulin,,10
3003.3900,Other,,10
3003.4100,Containing ephedrine or its salts,,10
3003.4200,Containing pseudoephedrine (INN) or its salts,,10
3003.4300,Containing norephedrine or its salts,,10
3003.4900,Other,,10
3003.6000,"Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,10
3003.9010,"Unani, ayurvedic and other oriental type medicine",,10
3003.9020,Homeopathic medicines,,10
3003.9090,Other,,10
3004.1010,"Ampicillin, Amoxcillin and Cloxcillin capsules/ syrup",,20
3004.1090,Other,,10
3004.2000,"Other, containing other antibiotics",,10
3004.3100,Containing insulin,,10
3004.3200,"Containing corticosteroid hormones, their derivatives or structural analogues",,10
3004.3900,Other,,10
3004.4100,Containing ephedrine or its salts,,10
3004.4200,Containing pseudoephedrine (INN) or its salts,,10
3004.4300,Containing norephedrine or its salts,,10
3004.4900,Other,,10
3004.5010,Cod liver oil,,0
3004.5090,Other,,10
3004.6000,"Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,10
3004.9010,Unani ayurvedic and other oriental type medicine,,10
3004.9020,Homeopathic medicines,,10
3004.9030,"Dextrose and saline infusion solution, with infusion set",,20
3004.9040,"Dextrose and saline infusion solution, without saline infusion set",,20
3004.9050,Eye drops,,20
3004.9060,"Ointments, medicinal",,20
3004.9070,"Aspirin, medicinal",,10
3004.9080,Sulpha drugs,,10
3004.9091,Cough syrups medicinal,,10
3004.9092,Paracetamol,,10
3004.9099,Other,,10
3005.1010,Surgical tape in jumbo rolls,,10
3005.1090,Other,,10
3005.9010,Acrynol pad,,10
3005.9090,Other,,10
3006.1010,Vascular grafts,,0
3006.1090,Other,,0
3006.3000,Opacifying preparations for X- ray examinations; diagnostic reagents designed to be administered to the patient,,10
3006.4000,Dental cements and other dental fillings; bone reconstruction cements,,10
3006.5000,First- aid boxes and kits,,20
3006.6000,"Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",,0
3006.7000,Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments,,20
3006.9100,Appliances identifiable for ostomy use,,20
3006.9200,Waste pharmaceuticals,,20
3006.9300,"Placebos and blinded (or double-blinded) clinical trial kits for a recognised clinical trial, put up in measured doses",,20
3101.0000,"Animal or vegetable fertilisers, whether or not mixed together or chemically treated; fertilisers produced by the mixing or chemical treatment of animal or vegetable products.",,0
3102.1000,"Urea, whether or not in aqueous solution",,0
3102.2100,Ammonium sulphate,,0
3102.2900,Other,,0
3102.3000,"Ammonium nitrate, whether or not in aqueous solution",,0
3102.4000,Mixtures of ammonium nitrate with calcium carbonate or other inorganic non- fertilising substances,,0
3102.5010,Crude,,0
3102.5090,Other,,0
3102.6000,Double salts and mixtures of calcium nitrate and ammonium nitrate,,0
3102.8000,Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution,,0
3102.9000,"Other, including mixtures not specified in the foregoing subheadings",,0
3103.1100,Containing by weight 35 % or more of diphosphorus pentaoxide (P O ) 2 5,,0
3103.1900,Other,,0
3103.9000,Other,,0
3104.2000,Potassium chloride,,0
3104.3000,Potassium sulphate,,0
3104.9000,Other,,0
3105.1000,Goods of this Chapter in tablets or similar forms or in packages of a gross weight not exceeding 10 kg,,0
3105.2000,"Mineral or chemical fertilisers containing the three fertilising elements nitrogen, phosphorus and potassium",,0
3105.3000,Diammonium hydrogenorthophosphate (diammonium phosphate),,0
3105.4000,Ammoniumdihydrogen orthophosphate (monoammonium phosphate) and mixtures thereof with diammonium hydrogenorthophosphate (diammonium phosphate),,0
3105.5100,Containing nitrates and phosphates,,0
3105.5900,Other,,0
3105.6000,Mineral or chemical fertilisers containing the two fertilising elements phosphorus and potassium,,0
3105.9000,Other,,0
3201.1000,Quebracho extract,,0
3201.2000,Wattle extract,,0
3201.9010,Acacia catechu (cutch),,0
3201.9020,Oak or chestnut extract,,0
3201.9030,Gambier,,0
3201.9090,Other,,0
3202.1000,Synthetic organic tanning substances,,0
3202.9010,"Tanning substances, tanning preparations based on chromium sulphate",,15
3202.9090,Other,,10
3203.0010,Obtained from acacia catechu (black cutch),,0
3203.0090,Other,,10
3204.1110,Powdered,,0
3204.1120,Liquid,,10
3204.1190,Other,,10
3204.1200,"Acid dyes, whether or not premetallised, and preparations based thereon; mordant dyes and preparations based thereon",,15
3204.1300,Basic dyes and preparations based thereon,,0
3204.1400,Direct dyes and preparations based thereon,,15
3204.1510,Indigo blue,,5
3204.1590,Other,,10
3204.1600,Reactive dyes and preparations based thereon,,15
3204.1710,Powdered,,0
3204.1720,Liquid,,10
3204.1790,Other,,10
3204.1800,Carotenoid colouring matters and preparations based thereon,,10
3204.1910,"Dyes, sulphur",,10
3204.1990,"Dyes, synthetic",,10
3204.2000,Synthetic organic products of a kind used as fluorescent brightening agents,,20
3204.9000,Other,,10
3205.0000,Colour lakes; preparations as specified in Note 3 to this Chapter based on colour lakes.,,0
3206.1100,Containing 80 % or more by weight of titanium dioxide calculated on the dry matter,,0
3206.1900,Other,,15
3206.2010,Chrome yellow,,10
3206.2090,Other,,10
3206.4100,Ultramarine and preparations based thereon,,10
3206.4210,Lithopone,,10
3206.4290,Other,,15
3206.4910,Master batches (coloured),,15
3206.4920,Pigments and peparations based on cadmium compounds,,10
3206.4930,Pigments and preparations based on hexacyanoferrates (ferrocyanides and ferricyanides),,10
3206.4990,Other,,15
3206.5010,Flourescent powder,,0
3206.5090,Inorganic products of a kind used as luminophores,,10
3207.1010,Opacifiers,,0
3207.1020,Ceramic Colours,,0
3207.1090,Other,,0
3207.2000,"Vitrifiable enamels and glazes, engobes (slips) and similar preparations",,0
3207.3000,Liquid lusters and similar preparations,,0
3207.4010,Glass frit,,0
3207.4090,Other,,0
3208.1010,Varnishes,,20
3208.1090,Other,,20
3208.2010,Varnishes,,15
3208.2090,Other,,20
3208.9011,Varnishes,,10
3208.9019,Other,,10
3208.9020,Other varnishes,,20
3208.9090,Other,,20
3209.1010,Varnishes,,20
3209.1090,Other,,20
3209.9010,"Lacquered blue, golden and silver",,5
3209.9090,Other,,20
3210.0010,Distempers,,20
3210.0020,Prepared water pigments of a kind used for finishing leather,,20
3210.0090,Other,,20
3211.0010,For leather,,10
3211.0090,Other,,20
3212.1000,Stamping foils,,5
3212.9010,Aluminium paste and powder,,0
3212.9020,Pigments in paint or enamel media,,20
3212.9030,Emitter paste for tube lights,,0
3212.9090,Other,,20
3213.1000,Colours in sets,,20
3213.9000,Other,,20
3214.1010,Glaziers putty (mastic based on oil),,20
3214.1020,Grafting putty (mastic based on wax),,20
3214.1030,Resin cements,,20
3214.1050,Capping cement for bulbs and tube lights,,0
3214.1090,Other,,20
3214.9010,Silicon sealant,,10
3214.9090,Other,,20
3215.1110,Rolling coating printing ink,,15
3215.1120,Digital,,20
3215.1130,Processed,,20
3215.1190,Other,,20
3215.1910,Flourescent ink,,15
